repository_name,language
Alura_pipeline_dados,Python
alura_projeto_requests,Python
caiosm01,
caiosm1.github.io,HTML
CursoEmVideo_PythonExercicios,Python
CursoEmVideo_WebDesign,HTML
Market_Basket_Analysis_Apriori,Jupyter Notebook
projeto1_AnaliseDeDados_FreeCodeCamp,Python
projeto1_Python_FreeCodeCamp,Python
projeto2_AnaliseDeDados_FreeCodeCamp,Python
projeto_engenharia_de_dados_pesquisas,Python
teste,
Transformacao_e_Encoding_de_Variaveis,Jupyter Notebook
udend-capstone-project,
Web-Scraping---Google-Drive,Python
